Date,Open,High,Low,Close,Shares Traded,Turnover 
29-Apr-2025,12446.6,12502.2,12403.75,12418.55,2517895368,96326.27
30-Apr-2025,12421.9,12451.5,12303.65,12364.25,2488133312,103910.02
02-May-2025,12353.25,12479.35,12303.95,12350.8,2364908857,93093.89
05-May-2025,12395.95,12467.8,12385.95,12459.6,2268529046,83411.99
06-May-2025,12482.4,12488.45,12296.85,12318.8,2623722013,83477.59
07-May-2025,12204.4,12393.7,12202.25,12387.05,2666362740,94792.83
08-May-2025,12409,12431.1,12196.65,12259.15,2717714822,98595.12
09-May-2025,12042.35,12188.8,12042.35,12168.05,3143959716,87485.61
12-May-2025,12439.1,12647.85,12426.95,12640.6,3264472730,97373.77
13-May-2025,12631.35,12679.1,12541.4,12560.3,2919491098,106774.32
14-May-2025,12591.65,12672.3,12571.3,12649.1,2906301157,107369.64
15-May-2025,12676.75,12823.75,12601.45,12810.4,3326459496,118761.52
16-May-2025,12832.65,12866.45,12789.1,12858.5,3697064070,140561.09
19-May-2025,12874.8,12917.4,12835.25,12861.45,4324697360,105244.89
20-May-2025,12905.7,12915.6,12693.55,12704.6,3428117419,106776.41
21-May-2025,12730.55,12831.15,12699.15,12786.9,2932420469,89832.41
22-May-2025,12756,12757.75,12639.45,12712.9,2724719720,97635.06
23-May-2025,12733.45,12834.6,12703.65,12816.8,2910706031,85536.55
26-May-2025,12858,12923.35,12854.15,12888.4,2882207166,82666.38
27-May-2025,12882.05,12919.6,12786.4,12838.35,2749992253,109344.62
28-May-2025,12854.55,12870.4,12812.25,12819.85,3605828159,101264.92
29-May-2025,12865.05,12887.5,12805.55,12865.95,2947480284,96551.75
30-May-2025,12871.2,12894.95,12808.45,12835.2,5719488313,158044.13
02-Jun-2025,12812.35,12869.3,12758.1,12853.3,4266441118,96576.19
03-Jun-2025,12894.15,12917,12774.6,12785.25,4893638518,106625.81
04-Jun-2025,12803.7,12849.1,12760,12839.95,3528676373,101808.53
05-Jun-2025,12880.35,12962.05,12854.4,12911.2,2893110785,107395.8
06-Jun-2025,12927.85,13044.8,12887.2,13035.6,3314671584,115610.64
09-Jun-2025,13116,13134.4,13086.55,13132,3640131863,100367.37
10-Jun-2025,13184.85,13185.75,13110.2,13140.85,3823586236,102418.63
11-Jun-2025,13162.3,13191.1,13101.65,13141.95,4692069266,105799.92
12-Jun-2025,13157.35,13162.35,12956.2,12976.6,3217313897,99221.97
13-Jun-2025,12742.35,12913.45,12742.35,12898.95,3078085327,93107.83
16-Jun-2025,12903.75,13009.25,12826.6,13002.7,2830572465,80463.87
17-Jun-2025,13021.15,13022.5,12924.8,12936.25,3403266842,94350.6
18-Jun-2025,12912.35,12985.35,12872.2,12904.35,2340082143,82241.61
19-Jun-2025,12902.65,12932.75,12778.9,12807.85,2798621182,80418.93
20-Jun-2025,12805.95,12972.4,12805.9,12959.5,3855586678,146884.03
23-Jun-2025,12869.6,12972.6,12847.95,12939.35,2413097545,81656.86
24-Jun-2025,13058.8,13110.25,12980.45,13002.2,3593010696,101796.22
25-Jun-2025,13060.25,13114.55,13047.05,13110.95,3555050713,90688.61
26-Jun-2025,13137.4,13237.15,13122.15,13230.55,3412306974,105501.91
27-Jun-2025,13259.95,13302.4,13243.85,13288.65,4006997891,142138.8
30-Jun-2025,13318.9,13322.15,13259.8,13291.45,3241559459,97576.21
01-Jul-2025,13317.05,13322.7,13259.25,13290.8,3134117009,90196.22
02-Jul-2025,13313.5,13322.65,13206.2,13253.1,3224212744,87891
03-Jul-2025,13278.15,13308,13229.1,13239.6,2806856628,83754.79
